t,V,s,V_norm,ICa_true,ICa_nn
0.0,-65.0,0.011607316445304631,-0.65,-0.04985002417273256,-0.3405720255072684
0.19569471624266144,-62.33272013704973,0.011681073526386492,-0.6233272013704974,-0.049757679904945944,-0.2369440588584173
0.3913894324853229,-59.81441873428577,0.011920490082055398,-0.5981441873428577,-0.0511025686822042,-0.14178982836137188
0.5870841487279843,-57.18845978673609,0.012370651271079855,-0.5718845978673609,-0.054231367694155416,-0.045584473667757974
0.7827788649706457,-54.05847800009496,0.013130472974945016,-0.5405847800009496,-0.06001860785445147,0.06628372110778313
0.9784735812133072,-49.582876774023305,0.014467143815755153,-0.49582876774023305,-0.07098679874053496,0.22503590862493872
1.1741682974559686,-41.28973780633215,0.017417024865595866,-0.4128973780633215,-0.09785537268800348,0.5238568860153057
1.36986301369863,-18.929572945005667,0.029301677075465302,-0.18929572945005668,-0.23856660599494148,1.3482782858780167
1.5655577299412915,33.20781785219251,0.06360915467734456,0.3320781785219251,-0.7023439593943317,2.4770534338336265
1.761252446183953,39.93350871980015,0.0995203862366641,0.39933508719800154,-1.586006264411808,-5.90957196589825
1.9569471624266144,33.56155157988103,0.13404353924484405,0.3356155157988103,-3.106195104496701,-13.152903584644351
2.152641878669276,24.80404976104681,0.16718580716544704,0.2480404976104681,-5.3216619294794665,-18.82501767725118
2.3483365949119372,15.111040240779872,0.19888115340559123,0.15111040240779872,-8.297495660116569,-21.42437596553266
2.544031311154599,5.383572838724653,0.22884167905276,0.05383572838724653,-12.004583957283337,-24.67657109774955
2.73972602739726,-3.9116542450039695,0.25626546808837986,-0.0391165424500397,-16.275049870268937,-30.631266789552118
2.935420743639922,-12.605079706605201,0.2794759533699714,-0.12605079706605202,-20.714719136739056,-32.2362210075737
3.131115459882583,-20.70441813839635,0.2960763189308089,-0.2070441813839635,-24.668632516646376,-32.48100227709009
3.3268101761252447,-28.350430011409482,0.30434403564863066,-0.28350430011409483,-27.482003806618103,-32.540835956013645
3.522504892367906,-35.86079844770383,0.30472195472916097,-0.3586079844770383,-28.945055293474596,-32.5510418711046
3.7181996086105675,-43.793648619787255,0.2993576526781718,-0.43793648619787257,-29.356737023555176,-32.51357918325584
3.9138943248532287,-52.685315164021844,0.29066854932529246,-0.5268531516402184,-29.179744811915217,-32.3305931597969
4.109589041095891,-61.52748551394168,0.28058703288374026,-0.6152748551394168,-28.582984955785978,-31.571239263200685
4.305283757338552,-67.04741529964386,0.2702860508207976,-0.6704741529964386,-27.329329233033047,-29.42223556982853
4.500978473581213,-68.95833988068001,0.26022523458694435,-0.6895833988068002,-25.591449075593115,-26.23267969099854
4.6966731898238745,-69.47031140357569,0.2505155362747623,-0.6947031140357569,-23.78156845791446,-23.630761732419792
4.892367906066537,-69.63116734862287,0.2411695626473381,-0.6963116734862287,-22.058943371602794,-22.02196438940889
5.088062622309198,-69.69303306540081,0.23217927366500263,-0.6969303306540081,-20.45164628029502,-20.83385043744415
5.283757338551859,-69.70876254625355,0.22353297730511174,-0.6970876254625356,-18.958352419287657,-19.635651433557364
5.47945205479452,-69.69097029741609,0.21521859979052582,-0.6969097029741609,-17.572609442571235,-18.257502966558075
5.675146771037182,-69.64388325328777,0.20722431406458106,-0.6964388325328776,-16.287343537934877,-16.694375481797643
5.870841487279844,-69.56971595454918,0.1995386680413726,-0.6956971595454918,-15.095694312852356,-15.061500213537922
6.066536203522505,-69.4700812713587,0.19215061029015534,-0.694700812713587,-13.99117450617608,-13.529726344215494
6.262230919765166,-69.34635425398437,0.18504949144135868,-0.6934635425398438,-12.96769343400735,-12.22631250002455
6.457925636007828,-69.19978530839562,0.17822505864523724,-0.6919978530839562,-12.019548867608885,-11.18393905980237
6.653620352250489,-69.03154287467348,0.17166744758827074,-0.6903154287467348,-11.141410467136275,-10.364757043762829
6.8493150684931505,-68.84273281967376,0.16536717351786429,-0.6884273281967376,-10.328300833574561,-9.706695597114647
7.045009784735812,-68.63440871825345,0.1593151218614458,-0.6863440871825346,-9.575576074421397,-9.152568837975283
7.240704500978474,-68.40757640434022,0.1535025386722946,-0.6840757640434022,-8.878906516022756,-8.659777788799826
7.436399217221135,-68.16319657054729,0.14792102116298161,-0.6816319657054728,-8.234258003779978,-8.200266457522485
7.632093933463796,-67.90218422966662,0.14256250840178908,-0.6790218422966662,-7.637873840588312,-7.757521061243044
7.8277886497064575,-67.62540676588785,0.13741927233846454,-0.6762540676588784,-7.086257530644859,-7.323363346241009
8.023483365949119,-67.3336795724589,0.1324839092442771,-0.673336795724589,-6.57615632054136,-6.895257476442345
8.219178082191782,-67.02776021081714,0.1277493317516339,-0.6702776021081713,-6.104545606629598,-6.474181241829305
8.414872798434443,-66.70834052910102,0.1232087616070132,-0.6670834052910102,-5.668614188094598,-6.062987726781927
8.610567514677104,-66.37603659868755,0.11885572330762108,-0.6637603659868755,-5.265750361852006,-5.665197852957927
8.806262230919765,-66.03137650138822,0.11468403885838287,-0.6603137650138823,-4.893528856419088,-5.284179266438114
9.001956947162427,-65.67478587896207,0.11068782394858492,-0.6567478587896207,-4.549698592741269,-4.922660204329805
9.197651663405088,-65.30657036849273,0.10686148584754207,-0.6530657036849273,-4.2321712336177315,-4.582511516494615
9.393346379647749,-64.92689439150318,0.10319972347730116,-0.6492689439150319,-3.939010506336043,-4.2647208325365344
9.58904109589041,-64.53575531760112,0.09969753025170779,-0.6453575531760112,-3.668422278562698,-3.9694856495118804
9.784735812133073,-64.13295152198504,0.09635020046765803,-0.6413295152198504,-3.418745369880886,-3.696364772284709
9.980430528375734,-63.71804226348409,0.09315334032432858,-0.6371804226348409,-3.1884430896092018,-3.44444466602991
10.176125244618396,-63.29029617573893,0.09010288505833593,-0.6329029617573894,-2.976095498238631,-3.2124939318908865
10.371819960861057,-62.848623723229196,0.08719512429815017,-0.6284862372322919,-2.7803924061547276,-2.9990924477057277
10.567514677103718,-62.39148675609923,0.08442673870355889,-0.6239148675609923,-2.600127148458559,-2.802730857874759
10.76320939334638,-61.91677468373432,0.08179485242720089,-0.6191677468373432,-2.4341912086662663,-2.6218814454199104
10.95890410958904,-61.42163101584412,0.07929710828961371,-0.6142163101584412,-2.281569818799718,-2.455043903324146
11.154598825831702,-60.90220452672828,0.07693177642179663,-0.6090220452672829,-2.141338752205983,-2.300770075804796
11.350293542074365,-60.35328318164987,0.07469791366871284,-0.6035328318164987,-2.012662673991065,-2.1576710642135533
11.545988258317026,-59.767740274145986,0.07259560252820191,-0.5976774027414599,-1.8947956683631602,-2.0244085415727318
11.741682974559687,-59.13566977867148,0.07062631939721431,-0.5913566977867147,-1.787085025594737,-1.8996696828988668
11.937377690802348,-58.44298754186209,0.06879352219116687,-0.5844298754186209,-1.688980255812793,-1.7821212193408573
12.13307240704501,-57.66907255181374,0.06710362921023537,-0.5766907255181374,-1.6000510864712605,-1.6703311627570137
12.32876712328767,-56.78258997404974,0.06556773884836747,-0.5678258997404975,-1.5200220984771389,-1.5626328109867693
12.524461839530332,-55.7336472780096,0.0642048587059888,-0.557336472780096,-1.4488409338613297,-1.4568748225275785
12.720156555772995,-54.43797406400698,0.06304850528187264,-0.5443797406400698,-1.3868216720438094,-1.349926562851256
12.915851272015656,-52.74206569952918,0.062161781143176664,-0.5274206569952917,-1.3349807529000925,-1.2366104942920917
13.111545988258317,-50.337501750977914,0.06167739371985756,-0.5033750175097791,-1.2959620860919139,-1.1071659412287003
13.307240704500979,-46.51887798446521,0.06192954534972944,-0.4651887798446521,-1.2772892438272763,-0.9406277587951997
13.50293542074364,-39.380869406264125,0.06405155696122235,-0.39380869406264124,-1.307752530968861,-0.6880132548721325
