t,V,s,V_norm,ICa_true,ICa_nn
0.0,-65.0,0.011607316445304631,-0.65,-0.04985002417273256,-0.1984560196516414
0.19569471624266144,-62.33272013704973,0.011681073526386492,-0.6233272013704974,-0.049757679904945944,-0.1376514915801117
0.3913894324853229,-59.81441873428577,0.011920490082055398,-0.5981441873428577,-0.0511025686822042,-0.08472542783863446
0.5870841487279843,-57.18845978673609,0.012370651271079855,-0.5718845978673609,-0.054231367694155416,-0.034264278383919766
0.7827788649706457,-54.05847800009496,0.013130472974945016,-0.5405847800009496,-0.06001860785445147,0.020866834588328054
0.9784735812133072,-49.582876774023305,0.014467143815755153,-0.49582876774023305,-0.07098679874053496,0.09406549673271591
1.1741682974559686,-41.28973780633215,0.017417024865595866,-0.4128973780633215,-0.09785537268800348,0.21957489499120086
1.36986301369863,-18.929572945005667,0.029301677075465302,-0.18929572945005668,-0.23856660599494148,0.4970075320207128
1.5655577299412915,33.20781785219251,0.06360915467734456,0.3320781785219251,-0.7023439593943317,1.1678190538545765
1.761252446183953,39.93350871980015,0.0995203862366641,0.39933508719800154,-1.586006264411808,0.6157603528323579
1.9569471624266144,33.56155157988103,0.13404353924484405,0.3356155157988103,-3.106195104496701,-0.7403184172863684
2.152641878669276,24.80404976104681,0.16718580716544704,0.2480404976104681,-5.3216619294794665,-3.1183884654490512
2.3483365949119372,15.111040240779872,0.19888115340559123,0.15111040240779872,-8.297495660116569,-6.886414482556762
2.544031311154599,5.383572838724653,0.22884167905276,0.05383572838724653,-12.004583957283337,-11.732135579042515
2.73972602739726,-3.9116542450039695,0.25626546808837986,-0.0391165424500397,-16.275049870268937,-16.844103989960004
2.935420743639922,-12.605079706605201,0.2794759533699714,-0.12605079706605202,-20.714719136739056,-21.533056190017554
3.131115459882583,-20.70441813839635,0.2960763189308089,-0.2070441813839635,-24.668632516646376,-25.242465475396486
3.3268101761252447,-28.350430011409482,0.30434403564863066,-0.28350430011409483,-27.482003806618103,-27.604710919728014
3.522504892367906,-35.86079844770383,0.30472195472916097,-0.3586079844770383,-28.945055293474596,-28.669784690301015
3.7181996086105675,-43.793648619787255,0.2993576526781718,-0.43793648619787257,-29.356737023555176,-28.843992218381374
3.9138943248532287,-52.685315164021844,0.29066854932529246,-0.5268531516402184,-29.179744811915217,-28.595239602542428
